	CourseId	Category	Code	Title	Description	ReviewCount	DocCount
197	197	CCEA-UH	1052	Confession	Confession is a cultural practice that grew out of a religious context to become something more: a practice that—though now removed from religion directly—arguably carries many of the same functions, such as divulgence of transgression and absolution of sin. This seminar explores confession as a religious and cultural practice and asks what, why, and how people confess through writing and performance? If confession is no longer always religiously determined, what possesses humans to confess our secrets, and why do readers and spectators care? Furthermore, how does secular confession operate in a globalized world? Do confessional practices traverse the globe? By broadening the Christian definition of confession and drawing on student- generated material, we will examine confession from an intercultural point of view and determine what we can learn about a culture by the kind of secrets it keeps and the nature of its confessional practices. Students should expect to read Hannah Arendt, Chikamatsu Monzaemon, Rustom Barucha, Joan Didion, Sigmund Freud, Allen Ginsberg, Koffi Kwahulé, Jean Racine, and Jean-Jacques Rousseau.	0	0
198	198	CCEA-UH	1053	The Hero	What does it mean to be a hero? Can one still be “heroic” in times marked by intense and jarring forms of violence? How does heroism travel across diverse places and beyond the frontline to intersect with mundane questions of survival as well as more severe issues of racial, class, and gender differences? And why do tales of heroism remain so persistently appealing to us today? In this course, we will examine the concept of the hero in world literature from ancient epic to postmodern fiction and film. We will investigate how the ideals of heroism, types of heroes/heroines and antiheroes, as well as modes of heroic action change through time, across literary genres and cultural traditions. Texts may include the Epic of Gilgamesh, Sophocles’ Antigone, Sīrat 'Antar, Sir Gawain and the Green Knight, Shakespeare’s Hamlet, Chinua Achebe’s Things Fall Apart, Pynchon’s Crying of Lot 49, graphic novels, selections from the Bible, the Qur’an, and the One Thousand and One Nights, and films such as Birdman, Lord of the Rings, and 300.	0	0
199	199	CCEA-UH	1054	Catastrophe into Art:  Drama, Dissolution, and Philosophy	We typically think of tragic dramas as staging destruction and dissolution, but many audience members come away with a sense of reconciliation, resolution, and understanding. Aristotle, at least, took something like this to be tragedy’s actual goal. Can viewing others’ suffering support such a positive view? From the time of Plato, other philosophers have been hostile to tragedy, arguing that it gets people too excited and in the wrong ways. Yet another view holds that tragedy does too little, that it is merely entertainment in the service of the powers that be – composed, one might argue, by men for men in order to reinforce a particular political, social, and economic outlook. This course examines these and other perennial questions about tragic drama by reading a wide range of plays from different periods and traditions. Authors include Sophocles, Sudraka, Hanquing, Motokiyo, Behn, Ibsen, Artaud, Brecht, Beckett, Soyinka, Glaspell, Parks, and Mouawad. Students will also examine dramatic theory and criticism from Plato and Aristotle, to Nietzsche, Shaw, and contemporary theorists such as Agamben and Cixous.	0	0
200	200	CCEA-UH	1055	Global Shakespeare	To what extent can “Shakespeare” serve as the focal point for a cultural heritage that belongs to the entire globe? This course offers a comparative, interdisciplinary approach to Shakespeare’s plays, considering them both as exemplary of Western literature and also as world literature, influential in many cultures. Three sets of questions ground the course: 1) In what ways was Shakespeare a “global” author in his own day, adopting a “worldly” approach that transcends his English context? 2) How do the publication, performance, and critical histories of his plays transform “Shakespeare” into a global commodity? 3) What cultural legacy has Shakespeare’s work left for a variety of global media forms, including plays, films, novels, operas, an d works of visual art? The course begins with two plays, Othello and The Tempest, that have inspired adaptations in a variety of contexts and genres. It then pays close attention to the global spread of Shakespeare’s most famous play, Hamlet, from 1603 to the present. The course concludes with a creative project inspired by Shakespeare’s lost play, Cardenio.	0	0
201	201	CCEA-UH	1056	Tragedy	Tragic dramas from different cultures and periods have framed in memorable, though often contradictory, ways some basic questions about how human beings face suffering, violence, and death. Drawing on these broad traditions, students will explore the dramatic forms, social contexts, and rhetorical and political goals of tragedies in an attempt to understand how drama can turn catastrophe into art—and why. By what means does tragedy take horrific and often degrading experiences and transform them into artistic experiences that are (sometimes) intelligible, pleasurable, or beautiful? Should witnessing the misery of others ever be pleasurable or beautiful? Can we presume to make sense of another's suffering? How, more generally, can tragic drama help us come to terms with the violence and brutality of the human condition—or does it sometimes hinder this attempt?	0	0
202	202	CCEA-UH	1057	Our Monsters, Ourselves	Drawing from literature of the past 200 years, this course considers basic questions: What does it mean to be human—and who do we include in our definitions of “human”? What is the relationship of people to their landscape and environment? What is the relationship of technology to cultural production? How do gender and sexuality define or liberate us? And, ultimately, does the artist have an obligation to address any of these issues in his/her work? As a guide to our explorations, we look at the ways in which monsters and the monstrous illuminate particular cultural moments and reflect on whether the monsters of two centuries ago shed light on our own cultural preoccupations.	0	0
203	203	CCEA-UH	1060	Photography and Narrative	This course explores photography’s relationship to language and narrative by examining photography’s rich interactions with literature and film. How do images complement, replace, challenge, or exceed language in narrative works? Can images create alternative forms of narrative? What kind of narratives do photographs generate in fiction? What is the relationship of photography and memory in works of autobiography or of photography and witnessing in social documentary? In what form are such dialogues present in films? Students will examine a variety of works from around the world which are entirely or almost entirely visual; works in which images and text are combined in creative partnership; and works which are about photographs but in which no images are actually reproduced.	0	0
204	204	CCEA-UH	1061	Memory	What is memory? We tend to think it will be activated when the right moment comes, but our experiences may belie our thinking, such as when we forget a name just when we need it. A variety of disciplines and theories approach the phenomenon of memory: cognitive science, computer science, biology, psychology, sociology, media theory, theory of perception, philosophy, history, cultural history and art history, trauma theory, heritage studies. And we can observe a huge variety of attempts to preserve memories: monuments, memorials, museums, libraries, archives, rituals, writing, film, and even ephemeral forms such as blog posts or status updates (nothing gets lost in the Web!). The course allows students to sample these various approaches without being restricted to any one of them as they explore fundamental questions about the relationship between memory and human identity: Is memory everything we can remember, or everything we can forget? How can we know memories from dreams or fantasies? Do we remember things as they really were or as they never were? Is memory what we take for granted and thus an impediment to creative thinking, or is it the prerequisite of creative activity?	0	0
205	205	CCEA-UH	1062	Everything Is a Remix	Is anything original? Before “remixes” had that name, they went by many others, including “tradition and the individual talent,” parody, pastiche, burlesque, adaptation, dialogism, collage, detournement, refunctioning, intertextuality, intermediality, transtextuality, and the carnivalesque. Asking what happens when we make something new from something old, this course explores artistic and interpretative remix practices that are both very ancient and extremely contemporary. While “remix” is a recent term that evokes studio production and Internet culture, understanding its roots obliges us to go back to long-standing traditions in arts and culture generally. Although the course focuses to some extent on film adaptations of literary works, it should be of interest to students curious about music, film, and artistic adaptation in general, but also with our mass-mediated social environment that thrives on sampling, mash-ups, memes, and adaptation.	0	0
206	206	CCEA-UH	1063	Literary Translation	This course explores the craft of and the market for literary translation. Why do some translators aim for familiarity and others for estrangement? What is lost, and perhaps even gained, in a text’s cultural relocation? What can be accessed in translation and what are the limits of translation? Translation, and translation projects such as NYUAD’s Library of Arabic Literature, play a pivotal role in shaping intercultural exchange and globalizing literary markets and canons. The course familiarizes students with practices and theories of translation from different literary traditions. Case studies include comparative examples drawn from distinct genres such as the epic, forms of lyric poetry, drama, and modern prose fiction. Not available to students who have taken LITCW-UH 1140.	0	0
207	207	CCEA-UH	1064X	Crisis and Creativity	How is creativity shaped by place and how can it flourish under crisis? A number of cataclysmic events have afflicted the Arab world in recent years, yet filmmakers have persisted in their desire to tell their stories, against the odds, in creative acts that attest to their imagination, courage and resilience. While news reporting tends to present crisis in abstract, humanitarian or Orientalist terms, how do filmmakers build new perceptions, rather than merely confirming existing ones? This course reflects on these questions, together with the often-fraught relationship between art and politics. Starting with a critical interrogation of the terms “crisis” and “creativity,” we will explore various creative strategies f or depicting crisis in contemporary cinema. Although our main reference point will be films from and about the Arab world, specifically, Lebanon, Iraq, Syria, Palestine, UAE, Saudi Arabia, and Egypt, we will also build comparisons with films from Iran, Brazil, Mexico, Russia, Denmark, UK, USA, Spain, India and elsewhere.	0	0
208	208	CCEA-UH	1065X	Nationalism, Art and Entertainment	How do we understand the relationship between nationalism and the arts? In both Europe and the Middle East, nationalism corresponded with the rise of new performance forms, literary genres, artistic movements, and innovations in media and communication technologies that created their region’s first mass audiences for newspapers, novels, prints, exhibitions, romantic drama, and musical theatre. Exploring this wide variety of materials, students will consider a range of questions to understand better how political and cultural formations relate. Is the medium the message? Did mass culture enable nationalism? Are such relationships stable across time and place? Students will examine religious and political arguments in newspapers and pamphlets; nationalist sentiment in poems, plays, and novels; and secondary sources in political science and history. The course’s first two units contrast the invention of the nation in Europe (during the Romantic period) and in the Levant (during the Arab Renaissance or nahda). The third unit looks at nationalism’s contemporary resurgence. All three units examine the role of art and entertainment in disseminating and shaping nationalist ideologies.	0	0
209	209	CCEA-UH	1066	Unknown World	(Formerly COREP-AD 59)For most of human history, anything beyond one’s place of residence was unknown and mysterious, perhaps frightening and perilous, or perhaps hugely exciting. How did people imagine, discover, experience, and express what they found to exist beyond the limits of their first-hand experiences? We will read various pieces of literature, and some scholarship about that literature, which reflect on the unknown world – books of travel, conquest, adventure, exploration, mystery, and wonder. How do the authors represent the unknown and describe places they have never seen? What do they attempt to “do” with the unknown, or to make the unknown do? We will engage with texts such as: Arrian, Indika; Tacitus, Germania; The Journey of Theophanes; Al-Biruni, Indica; Marco Polo, Description of the World; Ibn Battuta, The Journey; The Legend of Prester John; Alvise Cadamosto, Navigazioni; The Four Voyages of Christopher Columbus; Hakluyt, Divers Voyages; The Journals of Lewis and Clark.	0	0
210	210	CCEA-UH	1068J	City of Encounters: Literatures of Indigeneity, Migration and Settlement	Known for its beaches, sports grounds, and stunning harbor views, Sydney is also Australia’s preeminent literary and cultural city. Additionally, it is the country’s first settler city, a site of continuous indigenous presence, as well as port-of-entry for much of the country’s vast immigrant population. Using literature and the spaces of Sydney itself as a lens, this course examines Australian culture as a place of encounters, movements, and crossings. The course begins with literary representations of indigenous histories, European invasion, and settler colonialism, paired with walking tours of Sydney’s colonial architecture and indigenous art collections at the Australian Museum. It then turns to literary reckonings of the “White Australia Policy” (dismantled in the late 1960s/early 1970s) and postwar waves of migration and settlement to consider today’s fragile “multiculturalism” in an age of anti-refugee policies. Treating Sydney as both a literary space—comprising a complex, contested imaginative and cultural geography—and a space for first-hand inquiry, the course will supplement discussion with immersion in Sydney’s immigrant neighborhoods and vibrant cultural scenes.	0	0
211	211	CCEA-UH	1069	Cultural Appropriation	Virtually unknown outside of academic discourse until very recently, the term cultural appropriation has become a commonplace in social and popular media, as activists and public intellectuals have highlighted what they see as problematic uses (or abuses) of cultural symbols, artifacts, or expressive modes connected to marginalized groups. But what exactly is cultural appropriation, and under what circumstances can it be said to constitute a form of exploitation or violence? This course approaches these questions both philosophically and empirically, asking, on the one hand: What is culture, and how can it be “owned” or “stolen”? and  on the other: How have practices of adopting or using culture been implicated in processes of social subjugation or marginalization? Course readings are drawn from a range of disciplines across the humanities and social sciences, including cultural anthropology, art theory, music studies, and philosophy. By engaging with a rich corpus of ideas through in-class discussions, oral presentations, and written reflections, students will develop critical perspectives on cultural appropriation as well as the broader concepts of culture, race, and ethnicity.	0	0
212	212	CCEA-UH	1071J	Imagining the Renaissance City	Northern and central Italy’s bustling towns inspired many of today’s modern cities. This course examines three such cases. Florence was a powerhouse of culture and industry, Siena the Wall Street of Europe (with skyline to match), and Pisa, king of the Mediterranean before being overtaken by Florence in the 15th century. Students will get to know what made these cities tick, how they jostled for power in Tuscany, and why their innovations have been so enduring. Our access to these Renaissance cities is largely through art: their buildings, their paintings, and the words in which they were represented, reconfigured, condemned. Thus the seminar explores the way that both contemporaries and moderns imagined those cities, in words, images, and sounds. What kinds of stories did urban Renaissance men and women tell about their communities, the threats they faced from within and without, their hopes and aspirations, their fears as to what life would be like should their cities cease to exist? Dante, St. Catherine of Siena, the painter Ambrogio Lorenzetti, Italo Calvino and others will guide students’ explorations of some of the most mysterious and fascinating cities in the world.	0	0
213	213	CCEA-UH	1072	Discovery and Recognition in Narrative, Film, and Drama	Across all cultures, stories are fashioned to withhold information at first, holding our attention through suspense. They then produce disclosures at crucial moments of denouement. For Aristotle, this dynamic movement from ignorance to knowledge is essential, especially when it takes the form of the discovery - or recognition - of previously unknown identity. Tracing an arc from the ancient world to the present day, students study how the epistemology of modern storytelling across cultures disturbs the familiar patterns of clear and comforting revelation associated with classic genres. Readings include Aristotle’s Poetics; Oedipus Rex; the Odyssey; the Old Testament; the Gospels of Mark and John; the Qur’an; the Arabian Nights; Shakespeare’s King Lear; Naguib Mafouz; and films from the 1940s to the present.	0	0
214	214	CCEA-UH	1073J	Recovered Voices: Artistic and Musical Cultures from Prague to Theresienstadt	This seminar examines texts and contexts of Czech-Jewish-German musical and artistic culture that flourished in Prague between the World Wars, when a new generation of avant-garde composers and artists reshaped the city’s artistic cultures. Facing postwar political and social uncertainties and impacted by the rise of National Socialism after 1933, many artists were forced into exile, while others were deported to the Czech transit and concentration camp Theresienstadt. Facing illness and death, the prisoners at Theresienstadt forged an underground cultural life that included concerts, lectures, and art exhibits. The seminar engages with developments in Theresienstadt between 1942 and 1944 through the work of composers Haas, Klein, Krasa, and Ullmann, as well as other visual artists and writers imprisoned there. Using journals and a camera, students will explore the physical sites and cultural spaces of Prague and Theresienstadt, as a unique window onto the ideas and experiences of 20th-century modernism.	0	0
215	215	CCEA-UH	1074	Interracial Literature	This course examines a wide variety of literary texts on black-white couples, interracial families, and biracial identity, from classical antiquity to the present. Works studied include romances, novellas, plays, novels, short stories, poems, and non-fiction, as well as some films and examples from the visual arts. Topics for discussion range from interracial genealogies to racial “passing,” from representations of racial difference to alternative plot resolutions, and from religious and politic al to legal and scientific contexts for the changing understanding of “race.” Focus is on the European and American traditions, and students are encouraged to supplement course discussions by introducing other literatures as appropriate.	0	0
216	216	CCEA-UH	1075	Life Underground	From the slavery-era United States to literature of the Soviet Union to the contemporary art and film scenes around the world, the idea of “the underground” has been a site of resistance, exploration, and innovation. This course explores the powerful metaphor of “underground” to consider how, or if, it is possible for what happens underground to change what happens above. Readings from a variety of cultures will consider the relationship between the avant-garde and the mainstream, the power of language to shape cultural understanding, and the sometimes dangerous allure of worlds we cannot see. Course materials will include literature, movies, and visual art.	0	0
217	217	CCEA-UH	1076	Gender and the Future of Normal	We come from a range of different cultural experiences. How, then, do we consider normativity as we relate to our bodies and to gender expressions within shifting, social realities? When we enter public spheres, do our bodies complement or disrupt cultural expectations of normalcy? What are these expectations? How rooted are they in cultural ideologies and practices? What registers as non-normative and to what consequences? This course examines a range of writing, historical and contemporary, about gender expression in lived experience as well as in texts intended for live performance. These latter “textual performances” capture how artists have imagined and inscribed tensions between gender normativity and variation. How does the aliveness of gender performance (normative or disruptive) negotiate the dynamic among lived experience, textual performances, and live performance? Finally, how do our own gender expressions perform their aliveness in today’s world? Works from Jordan, Egypt, Palestine, France, South Africa, Uganda, Ireland, Greece, India, and Mexico, among others, are focal points for critical inquiry.	0	0
218	218	CCEA-UH	1077X	Islamism, Islamophobia, and Muslim Popular Culture	As state apparatuses everywhere attempt to control their citizenry either directly (though force) or hegemonically (via consent of the governed), popular youth cultures become the ideological terrain on which battles for freedom of expression are fought. In the case of Muslim cultures, the contest is sometimes framed in terms of secular liberalism of thought and behavior, at others, in support of stricter religious orthodoxy even as the language and forms deployed are those of pop culture viz. “Islamic” fashion, music, comic books, film, theater, etc. This course will explore such tensions and the ethical challenges they pose in an increasingly global society through a variety of pop culture forms and subcultures from around the Muslim world. The challenge the course presents-one that requires students to synthesize materials from many disciplines-is to think through the ongoing battle for hearts and minds of Muslim youth around the world. This battle can be summed up through the competing ideologies of Islamism at one extreme and Islamophobia at the other. How do we steer a course between this contemporary Scylla and Charybdis? Herein lies the task.	0	0
219	219	CCEA-UH	1078X	Representing the Middle East: Issues in the Politics of Culture	Media depictions of the Middle East have transnational ramifications on political discourse and cultural identification around the globe. This seminar explores the cultural politics of such representations, beginning from the premise that representation itself is a contested site. Students will examine film, visual culture, and literature to ask how “the real” is mediated for various audiences. How can key dilemmas be best approached, such as the clash between theological taboos and notions of freedom of expression in recent controversies about Danish cartoons and Charlie Hebdo? Can readings of texts, films, and digital spaces see beyond familiar negative stereotypes or positive public images? The seminar will be organized around significant themes, concepts, and questions, including the exotic and the imperial imaginary; travel and the Holy Land; gender and national allegory; the representation of the “real”; religious taboo and visual representation; antiquity in contemporary popular culture; memoir and the post/colonial gaze; and dislocation and diaspora in the transnational reception of Middle Eastern cinema, art, and culture.	0	0
220	220	CCEA-UH	1079J	Art, Education and Barbarism in Berlin	On May 10, 1933, students from the University of Berlin piled books from the State library onto carts, dumped them next to the Opera House, and set them alight. As Heinrich Heine had presciently observed, “Where books are burned, people will follow.” How did a nation that had seen itself as the land of “Dichter und Denker” - home to artists and philosophers such as Goethe, Kant, Beethoven, and Hegel - come to commit the most barbarous crimes in human history? This central question will be examined by reading not only Hitler’s Mein Kampf, but also key works by Schiller, Goethe and Wagner that inspired the German cultural nationalism of the late 19th and 20th centuries. At the same time, we will explore through the writings of Kant, Moses Mendelssohn and Lessing the Enlightenment tradition in Germany which, though it proved too weak in 1933, laid the groundwork for today’s liberal democratic Federal Republic. Relevant site visits include Frederick the Great’s palace Sans Souci, the Old National Gallery on Museum Island and the Topography of Terror exhibition at the former Gestapo headquarters. NOTE: This course is open only to NYU Abu Dhabi students.	0	0
221	221	CCEA-UH	1080X	Food, Culture, and Politics	“You are what you eat.” We have all heard this truism in one form or another. A more productive approach follows the French gastronome Brillat-Savarin’s famous statement, “Tell me what you eat, and I will tell you who you are.” We are how we eat, how we think about what we eat, and how we procure the foods that we eat. Food relates intimately to who we are as individuals and members of families and broader communities, and as a species. What can analysis of food teach us about the construction of meaning, order, and values in our lives? How do patterns in the production, distribution, and consumption of food promote social categorizations such as gender, ethnicity, religion, education, race, status, and class? How do scholars research local foodways in the context of global changes in systems of food production? What is the future of food in a world marked by increasing socio-economic inequalities and the threat of climate change? How we approach the question of what to eat therefore serves as a vehicle for understanding the construction of meaning and the contradictions of our adaptations to changing natural and social environments.	0	0
222	222	CCEA-UH	1081	Sense and Senses	What does it mean to study the senses? One way to approach this is to recognize, as anthropologists do, that sensory perception, which is experienced by the individual as a physical and biological capacity to engage with the world around us, is also always a cultural act. This class explores how gender, sexuality, ethnicity and class are embodied in sensory perceptions and everyday social interactions. Students will examine how our physiological capacities are engaged and reproduced in social, economic and political relations of power which are the outcome of complex historical trajectories. Discussions include a broad range of scholarly debates on the senses and sensory perception drawn from the anthropology of the senses, human geography, cultural history, film, museum studies, impairment and disability studies, literature, and art. The class will focus in particular on how corporeal practices involving food, art, music and movement are perceived, mediated and expressed through the senses.	0	0
223	223	CCEA-UH	1082	Literature of Migration	This course traces the theme of migration from the sixth century B.C.E. to the present and examines foundational, modern, and contemporary versions of migration experiences. Readings include scripture, epic and lyric poetry, epigrams and aphorisms, autobiography, reportage, documentary photography and film as well as fiction and examples of creative work in photography, film, and the visual arts. How has the process of migration been imagined and how have migrants and migration been represented in literature and visual arts, whether produced by migrants themselves or by others? What are the commonplaces (topoi) associated with migration, from fearing to yearning to be elsewhere and from nostalgia for the home (nostos) to making a home elsewhere? How has the emergence of migration literature (at times located between countries and languages) affected both national literary histories and notions of world literature? Works and even words (including the term “migration”) have also migrated, and so the course will pay some attention to “wanderwords” and to translation as an intrinsic part of the cultural history of migration.	0	0
224	224	CCEA-UH	1083	Falconry: Cultural Inheritance and Social Imaginary	The history of falconry is not a hunting story. It’s a story of human imagination of self, society, and the natural world. Approaching falconry as a “social fact” and as an example of what specialists refer to as “intangible heritage,” this course asks what human engagements with these birds of prey, across time and culture, reveal about relationships between humans and nature—relationships of ethics and respect, but also of desire and domination. How might a close examination of falconry help explain the emergence and transformation of social categories such as nobility and poverty, male and female, believer and pagan, citizen and foreigner? How might it require us to confront human fragility—our bodily, intellectual, and spiritual limits, our experiences of joy, love, youth, death, faith, science, and more? Engaging with texts, images, and films, students will ask how humans use non-human species to understand and define ourselves, our civilizations, and our aspirations across a rang e of ethnic, religious, historical, and geographical differences.	0	0
225	225	CCEA-UH	1085	Cinematic Imagination: Music, Media, and Modernity	Do new media change the way we think and perceive the world around us? What does it mean to live in an era after film has reshaped our capacity for documentation and visual expression? In order to explore such fundamental questions, this course focuses on artistic developments during the Weimar period (1918-1933), when Berlin became a vibrant cultural center after World War I. As the emergence of German film provided new aesthetic principles of artistic production and reception, traditional art forms such as literature, theatre, painting, photography, and music were reframed by a new “cinematic imagination.” Engaging with the work of cultural theorists who first witnessed the impact of film, photography, radio, and gramophone, the course also explores recent interdisciplinary scholarship in media studies to understand how new technologies shape social and political concerns. A hands-on film project allows students to explore Abu Dhabi’s urban cityscapes to create a remake of Walter Ruttman’s 1927 film Berlin: Symphony of a City. How can this reflection on modernity and modernization in 1920s Berlin help us understand the cinematic imagination's mediation of urban spaces today?	0	0
226	226	CCEA-UH	1087J	Confessional Culture from Augustine to Oprah	Michel Foucault famously argued that the West has become a “singularly confessing society” and western subjects have become “confessing animals.” What does he mean by this? And is the urge and incentive to confess restricted to the West, as Foucault would have it? The word “become” implies that confession has not always occupied such a central role. This course offers an overview of the confession - in the West but not only there - asking into the different uses and forms confession has historically taken. Particular emphasis will be set on considering: the “secularization” of Christian confessional practices; confession as a way of generating experiences of “interiority” or “depth” self; the mutual influence between religious and legal models of confession; and the relationship between confession and sexuality. What does it mean to confess “truly”? Can confessions be false? If confession is a “talking cure,” what is the confession supposed to cure? And whom? NOTE: This course is open only to NYU Abu Dhabi students. This course includes a required international trip to Greece.	0	0
227	227	CCEA-UH	1088J	Selves and Non-Selves in Arts and Literatures	Students in this course study representations of selves – their own, others’, collectives, and non-selves - in literature, art, and music. Examples come from around the world; mostly contemporary and Modern but we won’t ignore ancient and pre-Modern. A kernel-question guides our investigations: can selves/not-selves be known in artistic expressions, and if so, how and why? Autobiography, self-portraiture, and self-referential music and films will be primary texts, classified into four different voices: confession, accusation, aggregation, and nomothetic. Expect to read works by Whitman, Kincaid, Woolf, Gandhi, Borges, Xun, and Stein. Examples of portrait artists to be studied include Rembrandt, Leyster, van Gogh, Kahlo, and Warhol. Filmmakers who practice self-representation will include Deren, Anger, Riggs, and Varda. Music by Beyoncé, Ono/Lennon, ali-Khan, and Marvi will be studied.	0	0
228	228	CCEA-UH	1089	Gardens of Eden	Why is the garden one of the oldest and most pervasive modes of human intervention in the environment? This course explores the garden as a major art form by focusing on pictorial and spatial representations of the Garden of Eden. The Edenic Paradise of Genesis and the Qur’an gives us access to thought about gardens in the ancient Middle East. As a foundational idea in Judaic, Christian, and Islamic theology, the Garden of Eden spawned a history of interpretation that helped differentiate these religions. The representation of Eden in painting and sculpture is closely entwined with the history of garden design, and this seminar examines both. The course introduces fundamental methods of art history as students examine gardens in ancient Mesopotamia, early Christian monasteries, Syrian and Andalusian courtyards, Renaissance altarpieces, Persian court paintings, Mughal tomb complexes, and early American towns. Field trips include outings to gardens and collections in the United Arab Emirates and the seminar concludes with a collaborative garden design project in Abu Dhabi. NOTE: This course has a spring break trip to Spain.	0	0
229	229	CCEA-UH	1090	Un/Making History	“There is that great proverb,” the Nigerian writer Chinua Achebe once said, “that until the lions have their own historians, the history of the hunt will always glorify the hunter.” Is history inevitably written by the winners? Who decides which stories are told and heard, or how they shape collective memory? Can artists effectively act as historians, with the agency to shape counternarratives? This course explores contemporary art that draws on documentary and archival material—the stuff of “history”—to create performance and films that tell stories otherwise lost, forgotten, or displaced. Special attention will be paid to how these stories may participate in the process of decolonization, shape understandings of postwar realities, and generate debates in the global art world and society at large. Students will engage with the work of leading artists from Japan, South Asia, and South East Asia who explore the mechanisms of postcolonial history at the intersection of analog and digital media, fiction and nonfiction, poetry, and testimony. Theoretical texts include work by Eric Hobsbawm, Michel Foucault, Aimé Césaire, Dipesh Chakrabarty, Okwui Enwezor, and Vijay Prashad.	0	0
230	230	CCEA-UH	1091	Narrating Migration	Stories about migrants and the politics of migration have been told across media forms, platforms and genres.  Depending on the registers used and the location from where narrated, migration is increasingly perceived as a national or global crisis, a humanitarian emergency, or as economic opportunity.  Questions of mediation profoundly shape the circulation and the contours of the narrative. The course will 1) review some key themes about global migration in diverse contexts, 2) examine the role of media and mediation in constructing the migrant experience; 3) engage and critique digital archives of migration. The course will culminate in a media project where students produce their own digital media narratives of migration.	0	0
231	231	CCOL-UH	1000	Mortal and Immortal Questions	Conceptions of death and the afterlife not only structure traditional religious beliefs and practices, but they also subtly inform politics, scientific research, and societies more widely. How societies mete out punishment, engage in war, treat animals, distribute funds for scientific research or medical treatment, give legal expression to various moral mandates, etc. all are rooted in their attitudes and beliefs about death and the afterlife. This colloquium takes up a range of literary, political, and philosophical works from different cultures and periods that have framed in memorable, though often contradictory, ways some basic questions about death and immortality. How long should people live? How would immortality impact the planet’s resources? And how might these questions inflect our views about recent technological efforts to extend life and ultimately to achieve immortality virtual or otherwise? Students will confront such questions from a variety of moral, scientific, and cultural perspectives and explore the role that death plays in their own lives and in those of other peoples and societies.	0	0
232	232	CCOL-UH	1001	Dignity and Indignity	Dignity, a concept elaborated for its emancipatory potential, has come to serve varied ends. Beginning with contemporary evocations of the notion of dignity within international institutions (the Universal Declaration of Human Rights), bioethics (stem-cell research and end-of-life care), and socio-economics (the Indignants Movement and the Vatican’s “Dignity of Labor”), this class traces distinct and often conflicting conceptions of the term “dignity.” It investigates the ways in which the notion and experience of human dignity have come under assault in the modern world system, with its corresponding economic, social, and cultural practices. A series of historical investigations into philosophical definitions, visual and literary expressions, key official documents, and personal narratives will lead the class to ask whether the contemporary period may recover or conserve the liberating potential of dignity in our evolving world system.	0	0
233	233	CCOL-UH	1002	Indigeneity	This course explores the quality and concept of indigeneity – or native belonging – as a force of history and nature. It will examine trajectories of indigenous peoples, paying attention to relationships between indigenous peoples and their respective settler-states, and to how legacies of conflict and accommodation raise difficult questions about economic, cultural, and political justice. It will also look at “at-risk” ecologies currently threated by so-called invasive species, asking if notions of justice apply equally to the natural world, and if not what alternatives are available for protecting the non-human. Science, Social Science, and Culture converge in this class, in an inquiry into who or what came first, and why it matters for where we go next. Students examine local manifestations of global phenomena through case studies drawn from the Americas, the north and south Pacific, and Zomia. Readings are drawn from the fields of anthropology, environmental studies, ethnopharmacology, history, and public policy, and also include memoirs and personal testimony.	0	0
234	234	CCOL-UH	1003X	Faith in Science, Reason in Revelation	We live simultaneously in an age of science and an era of great religious faith, when reason and revelation are often depicted as being in inherent and eternal tension. This course traces the history of the relationship of religion and science in Christendom and Islamdom from the Middle Ages to the present day. As a colloquium within NYU Abu Dhabi’s Core Curriculum, the course addresses the global challenges of understanding humanity (by paying close attention to how humans in two religious traditions have defined and narrated the relationship between rational and revealed thought) and seeking peace (by attending to how a nineteenth-century narrative of a timeless conflict between science and religion has distorted our understanding of the past and continues to undermine contemporary debates on their compatibility).	0	0
235	235	CCOL-UH	1004	Migration: 20th- and 21st-Century Stories and Images	(Formerly CCOL-AD 5)With visual images, like those of master photographer Sebastião Salgado; Edward Said’s Reflections on Exile and Other Essays; filmmaker Sarah Gavron’s adaptation of Monica Ali’s novel Brick Lane; and the stories of Ghassan Kanafani, such as the brilliant “Returning to Haifa,” artists have been attempting to tell the stories of contemporary migration: the forces that lead to emigration and exile, the immigrant experience, and the pain of trying to go home again. This course will be an exploration of visual art, film, theater, literature and essays that attempt to illuminate the immigrant journey and will give students the opportunity to tell their own stories of migration using a variety of media.	0	0
236	236	CCOL-UH	1005	Wellness, Illness, and Everything in Between	Please Check One That Best Describes Your Current Status: □ Healthy □ Ill □ Healing. Can this survey be answered accurately? This course focuses on how these states are defined personally, culturally, biologically, and clinically. Laying a foundation in the biological basis of illness and wellness, the course also considers cultural and social issues that impact disease susceptibility, treatment, and outcome. Students will explore how data are used to construct evidence-based best practices for clinical care and will discuss how these can be implemented across a range of societies. Two of the most pressing global health concerns – cancer and obesity – will serve as primary case studies to be examined from scientific and cultural perspectives. Assignments and class discussions will include clinical studies, documentaries, and readings that highlight how globalization and diverse cultural contexts have influenced the prevalence and treatment of these conditions. Students will acquire an informed perspective on the scientific, medical, and cultural issues surrounding wellness and illness and the medical practices that aim to heal the sick and “above all, do no harm.”	0	0
